x,y
126,63
127,63
128,63
129,63
130,63
131,63
100,64
101,64
102,64
103,64
100,65
101,65
102,65
103,65
100,66
101,66
102,66
103,66
100,67
101,67
102,67
103,67
116,72
117,72
118,72
119,72
116,73
117,73
118,73
119,73
116,74
117,74
118,74
119,74
116,75
117,75
118,75
119,75
48,84
49,84
50,84
51,84
48,85
49,85
50,85
51,85
48,86
49,86
50,86
51,86
48,87
49,87
50,87
51,87
44,88
45,88
46,88
47,88
48,88
49,88
50,88
51,88
56,88
57,88
58,88
59,88
68,88
69,88
70,88
71,88
44,89
45,89
46,89
47,89
48,89
49,89
50,89
51,89
56,89
57,89
58,89
59,89
68,89
69,89
70,89
71,89
44,90
45,90
46,90
47,90
48,90
49,90
50,90
51,90
56,90
57,90
58,90
59,90
68,90
69,90
70,90
71,90
44,91
45,91
46,91
47,91
48,91
49,91
50,91
51,91
56,91
57,91
58,91
59,91
68,91
69,91
70,91
71,91
52,92
53,92
54,92
55,92
56,92
57,92
58,92
59,92
60,92
61,92
62,92
63,92
64,92
65,92
66,92
67,92
72,92
73,92
74,92
75,92
52,93
53,93
54,93
55,93
56,93
57,93
58,93
59,93
60,93
61,93
62,93
63,93
64,93
65,93
66,93
67,93
72,93
73,93
74,93
75,93
52,94
53,94
54,94
55,94
56,94
57,94
58,94
59,94
60,94
61,94
62,94
63,94
64,94
65,94
66,94
67,94
72,94
73,94
74,94
75,94
52,95
53,95
54,95
55,95
56,95
57,95
58,95
59,95
60,95
61,95
62,95
63,95
64,95
65,95
66,95
67,95
72,95
73,95
74,95
75,95
40,96
41,96
42,96
43,96
44,96
45,96
46,96
47,96
52,96
53,96
54,96
55,96
56,96
57,96
58,96
59,96
60,96
61,96
62,96
63,96
68,96
69,96
70,96
71,96
88,96
89,96
90,96
91,96
92,96
93,96
94,96
95,96
168,96
169,96
170,96
171,96
172,96
173,96
174,96
175,96
176,96
177,96
178,96
179,96
40,97
41,97
42,97
43,97
44,97
45,97
46,97
47,97
52,97
53,97
54,97
55,97
56,97
57,97
58,97
59,97
60,97
61,97
62,97
63,97
68,97
69,97
70,97
71,97
88,97
89,97
90,97
91,97
92,97
93,97
94,97
95,97
168,97
169,97
170,97
171,97
172,97
173,97
174,97
175,97
176,97
177,97
178,97
179,97
40,98
41,98
42,98
43,98
44,98
45,98
46,98
47,98
52,98
53,98
54,98
55,98
56,98
57,98
58,98
59,98
60,98
61,98
62,98
63,98
68,98
69,98
70,98
71,98
88,98
89,98
90,98
91,98
92,98
93,98
94,98
95,98
168,98
169,98
170,98
171,98
172,98
173,98
174,98
175,98
176,98
177,98
178,98
179,98
40,99
41,99
42,99
43,99
44,99
45,99
46,99
47,99
52,99
53,99
54,99
55,99
56,99
57,99
58,99
59,99
60,99
61,99
62,99
63,99
68,99
69,99
70,99
71,99
88,99
89,99
90,99
91,99
92,99
93,99
94,99
95,99
168,99
169,99
170,99
171,99
172,99
173,99
174,99
175,99
176,99
177,99
178,99
179,99
88,100
89,100
90,100
91,100
168,100
169,100
170,100
171,100
172,100
173,100
174,100
175,100
176,100
177,100
178,100
179,100
180,100
181,100
182,100
183,100
184,100
185,100
186,100
187,100
88,101
89,101
90,101
91,101
168,101
169,101
170,101
171,101
172,101
173,101
174,101
175,101
176,101
177,101
178,101
179,101
180,101
181,101
182,101
183,101
184,101
185,101
186,101
187,101
88,102
89,102
90,102
91,102
168,102
169,102
170,102
171,102
172,102
173,102
174,102
175,102
176,102
177,102
178,102
179,102
180,102
181,102
182,102
183,102
184,102
185,102
186,102
187,102
88,103
89,103
90,103
91,103
168,103
169,103
170,103
171,103
172,103
173,103
174,103
175,103
176,103
177,103
178,103
179,103
180,103
181,103
182,103
183,103
184,103
185,103
186,103
187,103
56,104
57,104
58,104
59,104
72,104
73,104
74,104
75,104
164,104
165,104
166,104
167,104
168,104
169,104
170,104
171,104
172,104
173,104
174,104
175,104
56,105
57,105
58,105
59,105
72,105
73,105
74,105
75,105
164,105
165,105
166,105
167,105
168,105
169,105
170,105
171,105
172,105
173,105
174,105
175,105
56,106
57,106
58,106
59,106
72,106
73,106
74,106
75,106
164,106
165,106
166,106
167,106
168,106
169,106
170,106
171,106
172,106
173,106
174,106
175,106
56,107
57,107
58,107
59,107
72,107
73,107
74,107
75,107
164,107
165,107
166,107
167,107
168,107
169,107
170,107
171,107
172,107
173,107
174,107
175,107
56,108
57,108
58,108
59,108
160,108
161,108
162,108
163,108
164,108
165,108
166,108
167,108
168,108
169,108
170,108
171,108
192,108
193,108
194,108
195,108
56,109
57,109
58,109
59,109
160,109
161,109
162,109
163,109
164,109
165,109
166,109
167,109
168,109
169,109
170,109
171,109
192,109
193,109
194,109
195,109
56,110
57,110
58,110
59,110
160,110
161,110
162,110
163,110
164,110
165,110
166,110
167,110
168,110
169,110
170,110
171,110
192,110
193,110
194,110
195,110
56,111
57,111
58,111
59,111
160,111
161,111
162,111
163,111
164,111
165,111
166,111
167,111
168,111
169,111
170,111
171,111
192,111
193,111
194,111
195,111
56,112
57,112
58,112
59,112
56,113
57,113
58,113
59,113
56,114
57,114
58,114
59,114
56,115
57,115
58,115
59,115
72,116
73,116
74,116
75,116
156,116
157,116
158,116
159,116
160,116
161,116
162,116
163,116
168,116
169,116
170,116
171,116
72,117
73,117
74,117
75,117
156,117
157,117
158,117
159,117
160,117
161,117
162,117
163,117
168,117
169,117
170,117
171,117
72,118
73,118
74,118
75,118
156,118
157,118
158,118
159,118
160,118
161,118
162,118
163,118
168,118
169,118
170,118
171,118
72,119
73,119
74,119
75,119
156,119
157,119
158,119
159,119
160,119
161,119
162,119
163,119
168,119
169,119
170,119
171,119
156,120
157,120
158,120
159,120
156,121
157,121
158,121
159,121
156,122
157,122
158,122
159,122
156,123
157,123
158,123
159,123
60,124
61,124
62,124
63,124
60,125
61,125
62,125
63,125
60,126
61,126
62,126
63,126
60,127
61,127
62,127
63,127
116,132
117,132
118,132
119,132
116,133
117,133
118,133
119,133
116,134
117,134
118,134
119,134
116,135
117,135
118,135
119,135
116,136
117,136
118,136
119,136
116,137
117,137
118,137
119,137
116,138
117,138
118,138
119,138
116,139
117,139
118,139
119,139
116,140
117,140
118,140
119,140
116,141
117,141
118,141
119,141
116,142
117,142
118,142
119,142
116,143
117,143
118,143
119,143
116,144
117,144
118,144
119,144
116,145
117,145
118,145
119,145
116,146
117,146
118,146
119,146
116,147
117,147
118,147
119,147
112,152
113,152
114,152
115,152
112,153
113,153
114,153
115,153
112,154
113,154
114,154
115,154
112,155
113,155
114,155
115,155
60,156
61,156
62,156
63,156
112,156
113,156
114,156
115,156
60,157
61,157
62,157
63,157
112,157
113,157
114,157
115,157
60,158
61,158
62,158
63,158
112,158
113,158
114,158
115,158
60,159
61,159
62,159
63,159
112,159
113,159
114,159
115,159
56,160
57,160
58,160
59,160
60,160
61,160
62,160
63,160
76,160
77,160
78,160
79,160
112,160
113,160
114,160
115,160
56,161
57,161
58,161
59,161
60,161
61,161
62,161
63,161
76,161
77,161
78,161
79,161
112,161
113,161
114,161
115,161
56,162
57,162
58,162
59,162
60,162
61,162
62,162
63,162
76,162
77,162
78,162
79,162
112,162
113,162
114,162
115,162
56,163
57,163
58,163
59,163
60,163
61,163
62,163
63,163
76,163
77,163
78,163
79,163
112,163
113,163
114,163
115,163
56,164
57,164
58,164
59,164
64,164
65,164
66,164
67,164
68,164
69,164
70,164
71,164
72,164
73,164
74,164
75,164
112,164
113,164
114,164
115,164
56,165
57,165
58,165
59,165
64,165
65,165
66,165
67,165
68,165
69,165
70,165
71,165
72,165
73,165
74,165
75,165
112,165
113,165
114,165
115,165
56,166
57,166
58,166
59,166
64,166
65,166
66,166
67,166
68,166
69,166
70,166
71,166
72,166
73,166
74,166
75,166
112,166
113,166
114,166
115,166
56,167
57,167
58,167
59,167
64,167
65,167
66,167
67,167
68,167
69,167
70,167
71,167
72,167
73,167
74,167
75,167
112,167
113,167
114,167
115,167
64,168
65,168
66,168
67,168
68,168
69,168
70,168
71,168
64,169
65,169
66,169
67,169
68,169
69,169
70,169
71,169
64,170
65,170
66,170
67,170
68,170
69,170
70,170
71,170
64,171
65,171
66,171
67,171
68,171
69,171
70,171
71,171
44,172
45,172
46,172
47,172
48,172
49,172
50,172
51,172
52,172
53,172
54,172
55,172
56,172
57,172
58,172
59,172
44,173
45,173
46,173
47,173
48,173
49,173
50,173
51,173
52,173
53,173
54,173
55,173
56,173
57,173
58,173
59,173
44,174
45,174
46,174
47,174
48,174
49,174
50,174
51,174
52,174
53,174
54,174
55,174
56,174
57,174
58,174
59,174
44,175
45,175
46,175
47,175
48,175
49,175
50,175
51,175
52,175
53,175
54,175
55,175
56,175
57,175
58,175
59,175
44,176
45,176
46,176
47,176
48,176
49,176
50,176
51,176
44,177
45,177
46,177
47,177
48,177
49,177
50,177
51,177
44,178
45,178
46,178
47,178
48,178
49,178
50,178
51,178
44,179
45,179
46,179
47,179
48,179
49,179
50,179
51,179
56,180
57,180
58,180
59,180
56,181
57,181
58,181
59,181
56,182
57,182
58,182
59,182
56,183
57,183
58,183
59,183
52,184
53,184
54,184
55,184
56,184
57,184
58,184
59,184
52,185
53,185
54,185
55,185
56,185
57,185
58,185
59,185
52,186
53,186
54,186
55,186
56,186
57,186
58,186
59,186
52,187
53,187
54,187
55,187
56,187
57,187
58,187
59,187
116,200
117,200
118,200
119,200
116,201
117,201
118,201
119,201
116,202
117,202
118,202
119,202
116,203
117,203
118,203
119,203
116,204
117,204
118,204
119,204
116,205
117,205
118,205
119,205
116,206
117,206
118,206
119,206
116,207
117,207
118,207
119,207
120,212
121,212
122,212
123,212
120,213
121,213
122,213
123,213
120,214
121,214
122,214
123,214
120,215
121,215
122,215
123,215
120,216
121,216
122,216
123,216
120,217
121,217
122,217
123,217
120,218
121,218
122,218
123,218
120,219
121,219
122,219
123,219
120,220
121,220
122,220
123,220
120,221
121,221
122,221
123,221
120,222
121,222
122,222
123,222
120,223
121,223
122,223
123,223
120,224
121,224
122,224
123,224
120,225
121,225
122,225
123,225
120,226
121,226
122,226
123,226
120,227
121,227
122,227
123,227
116,228
117,228
118,228
119,228
120,228
121,228
122,228
123,228
116,229
117,229
118,229
119,229
120,229
121,229
122,229
123,229
116,230
117,230
118,230
119,230
120,230
121,230
122,230
123,230
116,231
117,231
118,231
119,231
120,231
121,231
122,231
123,231
104,232
105,232
106,232
107,232
116,232
117,232
118,232
119,232
120,232
121,232
122,232
123,232
104,233
105,233
106,233
107,233
116,233
117,233
118,233
119,233
120,233
121,233
122,233
123,233
104,234
105,234
106,234
107,234
116,234
117,234
118,234
119,234
120,234
121,234
122,234
123,234
104,235
105,235
106,235
107,235
116,235
117,235
118,235
119,235
120,235
121,235
122,235
123,235
104,236
105,236
106,236
107,236
108,236
109,236
110,236
111,236
116,236
117,236
118,236
119,236
120,236
121,236
122,236
123,236
104,237
105,237
106,237
107,237
108,237
109,237
110,237
111,237
116,237
117,237
118,237
119,237
120,237
121,237
122,237
123,237
104,238
105,238
106,238
107,238
108,238
109,238
110,238
111,238
116,238
117,238
118,238
119,238
120,238
121,238
122,238
123,238
104,239
105,239
106,239
107,239
108,239
109,239
110,239
111,239
116,239
117,239
118,239
119,239
120,239
121,239
122,239
123,239
100,240
101,240
102,240
103,240
104,240
105,240
106,240
107,240
108,240
109,240
110,240
111,240
116,240
117,240
118,240
119,240
120,240
121,240
122,240
123,240
100,241
101,241
102,241
103,241
104,241
105,241
106,241
107,241
108,241
109,241
110,241
111,241
116,241
117,241
118,241
119,241
120,241
121,241
122,241
123,241
100,242
101,242
102,242
103,242
104,242
105,242
106,242
107,242
108,242
109,242
110,242
111,242
116,242
117,242
118,242
119,242
120,242
121,242
122,242
123,242
100,243
101,243
102,243
103,243
104,243
105,243
106,243
107,243
108,243
109,243
110,243
111,243
116,243
117,243
118,243
119,243
120,243
121,243
122,243
123,243
100,244
101,244
102,244
103,244
104,244
105,244
106,244
107,244
116,244
117,244
118,244
119,244
120,244
121,244
122,244
123,244
100,245
101,245
102,245
103,245
104,245
105,245
106,245
107,245
116,245
117,245
118,245
119,245
120,245
121,245
122,245
123,245
100,246
101,246
102,246
103,246
104,246
105,246
106,246
107,246
116,246
117,246
118,246
119,246
120,246
121,246
122,246
123,246
100,247
101,247
102,247
103,247
104,247
105,247
106,247
107,247
116,247
117,247
118,247
119,247
120,247
121,247
122,247
123,247
96,248
97,248
98,248
99,248
100,248
101,248
102,248
103,248
116,248
117,248
118,248
119,248
96,249
97,249
98,249
99,249
100,249
101,249
102,249
103,249
116,249
117,249
118,249
119,249
96,250
97,250
98,250
99,250
100,250
101,250
102,250
103,250
116,250
117,250
118,250
119,250
96,251
97,251
98,251
99,251
100,251
101,251
102,251
103,251
116,251
117,251
118,251
119,251
